species,year_cent,estimate,lower.HPD,upper.HPD,year
alcyonium_sub,-24.534136546184754,0.034492222907116815,0.0025111468272135612,0.1118677948354298,1978
alcyonium_sub,-24.323081269802845,0.03403217964840945,0.002295495467719527,0.11074188421380218,1978.211055276382
alcyonium_sub,-24.112025993420936,0.033575667456383074,0.0022600552844462504,0.10985316666363165,1978.4221105527638
alcyonium_sub,-23.900970717039026,0.033109612567970216,0.0022251674999212946,0.10903774336539844,1978.6331658291458
alcyonium_sub,-23.689915440657117,0.032642095151450105,0.002190823899092971,0.10780906577090706,1978.8442211055276
alcyonium_sub,-23.478860164275208,0.03220355105089785,0.0021556366794552757,0.1067952242594362,1979.0552763819096
alcyonium_sub,-23.2678048878933,0.03179943651300031,0.0021184859948717156,0.10582146343976445,1979.2663316582914
alcyonium_sub,-23.05674961151139,0.031342614919217124,0.0020819561445317727,0.10485289109242966,1979.4773869346734
alcyonium_sub,-22.84569433512948,0.030927435472368994,0.002741482216655018,0.10442387879796945,1979.6884422110552
alcyonium_sub,-22.634639058747567,0.03051801604322523,0.002695908699608014,0.10327467711874433,1979.8994974874372
alcyonium_sub,-22.42358378236566,0.03011186976895306,0.0026510763330639163,0.10213440448405361,1980.110552763819
alcyonium_sub,-22.212528505983748,0.02972304510839839,0.0024337913405566734,0.10103074016221678,1980.321608040201
alcyonium_sub,-22.00147322960184,0.029345985792271025,0.0024035187653332043,0.10008829782255707,1980.532663316583
alcyonium_sub,-21.79041795321993,0.028924741559135582,0.0025649750493083865,0.09932790649896914,1980.7437185929648
alcyonium_sub,-21.57936267683802,0.028509333598423392,0.0023440694252058096,0.09800518763791527,1980.9547738693468
alcyonium_sub,-21.36830740045611,0.028084598053250198,0.0018467165723155994,0.09656646026595204,1981.1658291457286
alcyonium_sub,-21.1572521240742,0.027699893018988522,0.0017795912930664527,0.09536964865721904,1981.3768844221106
alcyonium_sub,-20.946196847692292,0.02732854345487567,0.0017487651575756307,0.09440123103875889,1981.5879396984924
alcyonium_sub,-20.735141571310383,0.026929849390289834,0.0022294409424858685,0.0938638795480144,1981.7989949748744
alcyonium_sub,-20.524086294928473,0.02652133644309498,0.002201650337582665,0.0927418520698779,1982.0100502512562
alcyonium_sub,-20.313031018546564,0.026119244457451084,0.0021741985658232954,0.0918730986601717,1982.2211055276382
alcyonium_sub,-20.101975742164655,0.025737880733811523,0.0018671963389581836,0.090728821222471015,1982.43216080402
alcyonium_sub,-19.890920465782745,0.02534856140730138,0.00225066750100642,0.0901668697066042,1982.643216080402
alcyonium_sub,-19.679865189400836,0.02494501262646456,0.0020938382142888703,0.08904603945214962,1982.854271356784
alcyonium_sub,-19.468809913018926,0.024552014044132688,0.0020952649641460684,0.08820804331737768,1983.0653266331658
alcyonium_sub,-19.257754636637017,0.024175539211822143,0.0020418897180311877,0.08737839010745714,1983.2763819095478
alcyonium_sub,-19.046699360255104,0.023792572118439242,0.002016391960816588,0.08651048004765852,1983.4874371859296
alcyonium_sub,-18.8356440838732,0.023450322691310675,0.0019912070448507586,0.08556385889888282,1983.6984924623116
alcyonium_sub,-18.624588807491286,0.02311924533480034,0.0014424064737830833,0.08422655479881525,1983.9095477386934
alcyonium_sub,-18.41353353110938,0.0227960123559465,0.0014173310015134857,0.08318618061815868,1984.1206030150754
alcyonium_sub,-18.202478254727467,0.022456954530392273,0.0013926863414522612,0.08244298468910154,1984.3316582914572
alcyonium_sub,-17.991422978345557,0.02212800646837146,0.0016225082399884717,0.08172697694108413,1984.5427135678392
alcyonium_sub,-17.780367701963648,0.021827271332154532,0.0015999276858159554,0.08101505781038049,1984.7537688442212
alcyonium_sub,-17.56931242558174,0.021456324418521022,0.0018006192979341264,0.08048190131342524,1984.964824120603
alcyonium_sub,-17.35825714919983,0.02112665207196855,0.0017705457315249104,0.07960349602944633,1985.175879396985
alcyonium_sub,-17.14720187281792,0.020814911430198847,0.001740974678924507,0.07890385772476737,1985.3869346733668
alcyonium_sub,-16.93614659643601,0.0205224278520632,0.0017185782400334906,0.07820831673529621,1985.5979899497488
alcyonium_sub,-16.7250913200541,0.020224027074423508,0.0017557957454353364,0.07754956473794807,1985.8090452261306
alcyonium_sub,-16.514036043672192,0.019911129594842775,0.0012102227197703756,0.07613655114196938,1986.0201005025126
alcyonium_sub,-16.302980767290283,0.0196012208522292,0.0011891534854127583,0.07514785366674095,1986.2311557788944
alcyonium_sub,-16.091925490908373,0.01931655893447486,0.0011684497142995872,0.07416842717169182,1986.4422110552764
alcyonium_sub,-15.880870214526464,0.01900569993710499,0.0011481053810342414,0.07349613016830606,1986.6532663316582
alcyonium_sub,-15.669814938144553,0.018721964863568405,0.0011281145487369746,0.07286441055264734,1986.8643216080402
alcyonium_sub,-15.458759661762643,0.018423352513964066,0.0011084713680301153,0.0722352579620688,1987.0753768844222
alcyonium_sub,-15.247704385380734,0.01814203710608,0.0011812946481196047,0.0716728635626764,1987.286432160804
alcyonium_sub,-15.036649108998825,0.017898578002382717,0.0010702049953336835,0.07054310536352568,1987.497487437186
alcyonium_sub,-14.825593832616915,0.017637442309611333,0.001051570533036744,0.0697618473466732,1987.7085427135678
alcyonium_sub,-14.614538556235006,0.017362555097622537,0.0011284321986001927,0.06912654428218908,1987.9195979899498
alcyonium_sub,-14.403483279853097,0.017100476084609538,0.0010152715084794683,0.0683069610868181,1988.1306532663316
alcyonium_sub,-14.192428003471187,0.016835684991486133,9.975961739217666e-4,0.0676401597807395,1988.3417085427136
